ejecutable;numElementos;tiempo

ht_linear;12;0
ht_quadratic;12;0
ht_double;12;0
ht_open;12;997600
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;1438200
ht_quadratic;12;0
ht_double;12;533700
ht_open;12;0
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;0
ht_open;12;1032300
ht_linear;12;1000500
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;1032400
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;1000700
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;993300
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;994600
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;0
ht_quadratic;12;996000
ht_double;12;0
ht_open;12;0
ht_linear;12;516300
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;998600
ht_open;12;0
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;6257700
ht_open;12;0
ht_linear;12;1214000
ht_quadratic;12;0
ht_double;12;0
ht_open;12;516100
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;0
ht_open;12;1030800
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;992700
ht_open;12;0
ht_linear;12;999000
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;1000700
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;0
ht_open;12;1006200
ht_linear;12;999400
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;995900
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;1006400
ht_open;12;0
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;1004700
ht_open;12;0
ht_linear;12;0
ht_quadratic;12;1000000
ht_double;12;0
ht_open;12;0
ht_linear;12;996500
ht_quadratic;12;0
ht_double;12;0
ht_open;12;0
ht_linear;12;0
ht_quadratic;12;0
ht_double;12;0
ht_open;12;1382800
ht_linear;12;0
ht_quadratic;12;1037800
ht_double;12;0
ht_open;12;0
