numElementos;tiempo 

1000;16679800
5000;16592900
10000;24830400
20000;82552000
1000;0
5000;23267800
10000;45282000
20000;79335900
1000;14034300
5000;14257100
10000;47608400
20000;82354900
1000;0
5000;33709200
10000;35162000
20000;82313600
1000;6576800
5000;19687500
10000;28290200
20000;92059800
1000;2483500
5000;16119800
10000;44236100
20000;85620700
1000;0
5000;33315800
10000;34435900
20000;95393700
1000;15645900
5000;18967100
10000;44007000
20000;79316600
1000;0
5000;18694200
10000;41115700
20000;95413300
1000;0
5000;20523500
10000;28410900
20000;75691000
1000;1524000
5000;15643600
10000;36270800
20000;87755900
1000;0
5000;31279700
10000;31743400
20000;87701300
1000;0
5000;15849000
10000;46852800
20000;81087100
1000;13527200
5000;13088800
10000;38575200
20000;95185700
1000;0
5000;17884500
10000;33815300
20000;78980200
1000;2545000
5000;13247600
10000;50020400
20000;92108900
1000;0
5000;11154500
10000;37041500
20000;79227700
1000;0
5000;18712600
10000;33524200
20000;101245900
1000;0
5000;11291300
10000;45304600
20000;87155800
1000;0
5000;31248500
10000;31264700
20000;93763200
1000;0
5000;32140300
10000;29660800
20000;85096300
1000;2107400
5000;19692300
10000;31265600
20000;81666100
1000;0
5000;15848000
10000;31167900
20000;76008000
1000;1977200
5000;15536400
10000;39345900
20000;74940300
1000;15633400
5000;15865500
10000;46855200
20000;95421300
1000;5985900
5000;28139100
10000;29951700
20000;93738700
1000;2119500
5000;31505800
10000;32284600
20000;94001800
1000;0
5000;31292000
10000;26803900
20000;93754400
1000;0
5000;20286400
10000;31245300
20000;78866600
1000;7683000
5000;15628300
10000;47105700
20000;77260000
