numElementos;tiempo 

1000;5603800
5000;18880200
10000;28268000
20000;83861900
1000;2287700
5000;14319300
10000;28966100
20000;94448900
1000;0
5000;20349500
10000;33055500
20000;85152100
1000;0
5000;11730900
10000;39789100
20000;83610700
1000;0
5000;32063700
10000;33221700
20000;99109800
1000;0
5000;31924300
10000;33989200
20000;86293000
1000;0
5000;17089300
10000;44256600
20000;84418700
1000;530700
5000;7558400
10000;33149300
20000;73430400
1000;3434700
5000;17340200
10000;24868600
20000;78986200
1000;0
5000;19196100
10000;27648200
20000;85259500
1000;13555800
5000;12510100
10000;36682500
20000;96263800
1000;0
5000;15985100
10000;46635400
20000;78369000
1000;6368800
5000;31284300
10000;28254300
20000;81653400
1000;517600
5000;18435900
10000;25385900
20000;78157100
1000;0
5000;29692500
10000;29696900
20000;82196700
1000;4041800
5000;23954600
10000;31545000
20000;82463300
1000;0
5000;29963200
10000;30133100
20000;85708600
1000;0
5000;15857200
10000;36318300
20000;86490000
1000;0
5000;31500100
10000;31651800
20000;95760700
1000;0
5000;15833000
10000;47318200
20000;78162600
1000;6539200
5000;15625300
10000;43257600
20000;79542100
1000;15537100
5000;12757100
10000;46906300
20000;76903800
1000;8534600
5000;14535600
10000;36321400
20000;88989700
1000;0
5000;31499700
10000;31247600
20000;97742200
1000;4023900
5000;13465300
10000;35317100
20000;75657100
1000;5984300
5000;16034800
10000;49284400
20000;78157600
1000;515600
5000;15880100
10000;46884900
20000;79036000
1000;15667600
5000;16450800
10000;43681000
20000;78249800
1000;2040400
5000;12803600
10000;45334100
20000;76662500
1000;3102100
5000;15927000
10000;46893400
20000;74999900
