numElementos;tiempo 

1000;6541900
5000;19367800
10000;46392600
20000;84740300
1000;0
5000;23286800
10000;30145600
20000;96689700
1000;0
5000;22544100
10000;27504100
20000;98789400
1000;0
5000;12767800
10000;37945500
20000;83049200
1000;11370100
5000;20643300
10000;34581700
20000;89615300
1000;0
5000;25829700
10000;35705200
20000;82956900
1000;2908100
5000;16866400
10000;45833500
20000;88811500
1000;0
5000;21873800
10000;27132400
20000;81591000
1000;0
5000;28096300
10000;42439400
20000;86978900
1000;0
5000;16231100
10000;29961700
20000;83009200
1000;0
5000;10791800
10000;31292000
20000;88043400
1000;0
5000;22736500
10000;30692300
20000;82947400
1000;15830400
5000;16074100
10000;46909800
20000;82694900
1000;3023900
5000;13767600
10000;47755600
20000;87982000
1000;3553900
5000;20141200
10000;31286800
20000;91143800
1000;15026400
5000;15635700
10000;46908300
20000;73904400
1000;5245600
5000;13354200
10000;29939500
20000;81461500
1000;0
5000;18645800
10000;29549500
20000;77504900
1000;12533200
5000;15623900
10000;39890000
20000;79630100
1000;4936400
5000;13773300
10000;37821400
20000;84877700
1000;0
5000;10793900
10000;36310200
20000;78857700
1000;4700200
5000;15218400
10000;47542500
20000;78683700
1000;0
5000;15645700
10000;31244700
20000;93410300
1000;0
5000;34478200
10000;25047100
20000;109390600
1000;0
5000;31248000
10000;31264900
20000;84670200
1000;0
5000;12533300
10000;31233900
20000;89744500
1000;0
5000;31620600
10000;46856600
20000;72543900
1000;0
5000;31409100
10000;31237300
20000;99129600
1000;0
5000;24476100
10000;31286300
20000;82694200
1000;15612100
5000;15647400
10000;45815200
20000;78259400
