ejecutable;numElementos;tiempo

ht_linear;1000;15957700
ht_quadratic;1000;5289000
ht_double;1000;5439800
ht_open;1000;5140200
ht_linear;5000;24094700
ht_quadratic;5000;22539700
ht_double;5000;21783800
ht_open;5000;23807400
ht_linear;10000;41061200
ht_quadratic;10000;38498800
ht_double;10000;38101100
ht_open;10000;40446600
ht_linear;20000;92176200
ht_quadratic;20000;91476100
ht_double;20000;86487700
ht_open;20000;87865700
ht_linear;1000;6416800
ht_quadratic;1000;5516100
ht_double;1000;4572700
ht_open;1000;4875900
ht_linear;5000;23093900
ht_quadratic;5000;21816000
ht_double;5000;22585100
ht_open;5000;21949500
ht_linear;10000;39314800
ht_quadratic;10000;38409500
ht_double;10000;38617000
ht_open;10000;39769700
ht_linear;20000;88063900
ht_quadratic;20000;87537000
ht_double;20000;89689900
ht_open;20000;90383500
ht_linear;1000;5793400
ht_quadratic;1000;5000100
ht_double;1000;4730500
ht_open;1000;5026300
ht_linear;5000;22175500
ht_quadratic;5000;22936400
ht_double;5000;22493400
ht_open;5000;22199400
ht_linear;10000;39216800
ht_quadratic;10000;37829100
ht_double;10000;38966500
ht_open;10000;40262600
ht_linear;20000;90488500
ht_quadratic;20000;89431900
ht_double;20000;85810800
ht_open;20000;87472600
ht_linear;1000;5193800
ht_quadratic;1000;7364000
ht_double;1000;4483400
ht_open;1000;5234800
ht_linear;5000;23389400
ht_quadratic;5000;22776400
ht_double;5000;22726300
ht_open;5000;22872400
ht_linear;10000;41283300
ht_quadratic;10000;43173800
ht_double;10000;39389500
ht_open;10000;39178600
ht_linear;20000;86893500
ht_quadratic;20000;86778200
ht_double;20000;86247400
ht_open;20000;88924800
ht_linear;1000;5102100
ht_quadratic;1000;5683000
ht_double;1000;4455400
ht_open;1000;5048700
ht_linear;5000;27758700
ht_quadratic;5000;21574300
ht_double;5000;22185600
ht_open;5000;22854700
ht_linear;10000;40246000
ht_quadratic;10000;38617300
ht_double;10000;37066200
ht_open;10000;39496900
ht_linear;20000;86709300
ht_quadratic;20000;87424400
ht_double;20000;85392900
ht_open;20000;87137100
ht_linear;1000;5556100
ht_quadratic;1000;5668100
ht_double;1000;5029200
ht_open;1000;4652100
ht_linear;5000;23235900
ht_quadratic;5000;22264800
ht_double;5000;24616600
ht_open;5000;23802400
ht_linear;10000;38885300
ht_quadratic;10000;37037500
ht_double;10000;40734200
ht_open;10000;39407100
ht_linear;20000;87271300
ht_quadratic;20000;87018200
ht_double;20000;85662300
ht_open;20000;87153900
ht_linear;1000;5821000
ht_quadratic;1000;5776400
ht_double;1000;4402700
ht_open;1000;4819100
ht_linear;5000;23813100
ht_quadratic;5000;23095200
ht_double;5000;21354100
ht_open;5000;23239200
ht_linear;10000;38977400
ht_quadratic;10000;37400300
ht_double;10000;38785500
ht_open;10000;40064300
ht_linear;20000;87142300
ht_quadratic;20000;86878600
ht_double;20000;86666000
ht_open;20000;87827200
ht_linear;1000;6144800
ht_quadratic;1000;5012800
ht_double;1000;5242200
ht_open;1000;3998300
ht_linear;5000;22378000
ht_quadratic;5000;22789200
ht_double;5000;22412600
ht_open;5000;22923100
ht_linear;10000;38534400
ht_quadratic;10000;39392400
ht_double;10000;39090500
ht_open;10000;39594100
ht_linear;20000;86523400
ht_quadratic;20000;86930000
ht_double;20000;86144800
ht_open;20000;87661100
ht_linear;1000;5538200
ht_quadratic;1000;5688000
ht_double;1000;4813600
ht_open;1000;4999500
ht_linear;5000;23239300
ht_quadratic;5000;21570100
ht_double;5000;22397300
ht_open;5000;22009000
ht_linear;10000;39081800
ht_quadratic;10000;39050300
ht_double;10000;37614100
ht_open;10000;40899800
ht_linear;20000;92829400
ht_quadratic;20000;86917300
ht_double;20000;85318500
ht_open;20000;89309000
ht_linear;1000;5689000
ht_quadratic;1000;5339900
ht_double;1000;5004200
ht_open;1000;5222300
ht_linear;5000;24070400
ht_quadratic;5000;24417700
ht_double;5000;22974500
ht_open;5000;24079800
ht_linear;10000;40055600
ht_quadratic;10000;37869100
ht_double;10000;39274100
ht_open;10000;39095000
ht_linear;20000;87006200
ht_quadratic;20000;86839900
ht_double;20000;86557200
ht_open;20000;87088000
ht_linear;1000;5276400
ht_quadratic;1000;4625000
ht_double;1000;4928100
ht_open;1000;5871900
ht_linear;5000;23051500
ht_quadratic;5000;23237200
ht_double;5000;21879200
ht_open;5000;23869700
ht_linear;10000;42098400
ht_quadratic;10000;38226900
ht_double;10000;38564200
ht_open;10000;39491100
ht_linear;20000;87438700
ht_quadratic;20000;86875000
ht_double;20000;86195800
ht_open;20000;86938900
ht_linear;1000;5000300
ht_quadratic;1000;6570600
ht_double;1000;4994100
ht_open;1000;4573700
ht_linear;5000;22628500
ht_quadratic;5000;22117200
ht_double;5000;22803000
ht_open;5000;22002900
ht_linear;10000;38163300
ht_quadratic;10000;39343100
ht_double;10000;38139100
ht_open;10000;38771800
ht_linear;20000;86228900
ht_quadratic;20000;86771600
ht_double;20000;86713600
ht_open;20000;87281100
ht_linear;1000;5002300
ht_quadratic;1000;5540100
ht_double;1000;5206900
ht_open;1000;4558700
ht_linear;5000;23445800
ht_quadratic;5000;22259600
ht_double;5000;23417600
ht_open;5000;22767300
ht_linear;10000;38734800
ht_quadratic;10000;37305600
ht_double;10000;37775600
ht_open;10000;40895500
ht_linear;20000;86218700
ht_quadratic;20000;87436600
ht_double;20000;85255200
ht_open;20000;88741900
ht_linear;1000;5997500
ht_quadratic;1000;4673400
ht_double;1000;5009200
ht_open;1000;5551100
ht_linear;5000;23687200
ht_quadratic;5000;22376900
ht_double;5000;22639700
ht_open;5000;21970500
ht_linear;10000;38113200
ht_quadratic;10000;38776400
ht_double;10000;38821200
ht_open;10000;39276400
ht_linear;20000;85978400
ht_quadratic;20000;87039500
ht_double;20000;85716700
ht_open;20000;87156700
ht_linear;1000;6012500
ht_quadratic;1000;5907800
ht_double;1000;5031700
ht_open;1000;4533200
ht_linear;5000;22789300
ht_quadratic;5000;21806200
ht_double;5000;23401300
ht_open;5000;23175300
ht_linear;10000;38693800
ht_quadratic;10000;39392900
ht_double;10000;38196000
ht_open;10000;39776100
ht_linear;20000;86766300
ht_quadratic;20000;86461300
ht_double;20000;86419900
ht_open;20000;88353800
ht_linear;1000;5084600
ht_quadratic;1000;5316300
ht_double;1000;3979400
ht_open;1000;6304500
ht_linear;5000;23411200
ht_quadratic;5000;23719800
ht_double;5000;22195800
ht_open;5000;22285800
ht_linear;10000;38656700
ht_quadratic;10000;38333500
ht_double;10000;40693100
ht_open;10000;39177700
ht_linear;20000;87706600
ht_quadratic;20000;86751100
ht_double;20000;87557500
ht_open;20000;88730000
ht_linear;1000;4908500
ht_quadratic;1000;5664300
ht_double;1000;5000400
ht_open;1000;4830100
ht_linear;5000;23038100
ht_quadratic;5000;22337800
ht_double;5000;22281300
ht_open;5000;22588600
ht_linear;10000;39469900
ht_quadratic;10000;38802000
ht_double;10000;38030600
ht_open;10000;40128200
ht_linear;20000;87397300
ht_quadratic;20000;88351200
ht_double;20000;86391900
ht_open;20000;89825000
ht_linear;1000;5038300
ht_quadratic;1000;5756100
ht_double;1000;4715600
ht_open;1000;5026500
ht_linear;5000;23198500
ht_quadratic;5000;21294500
ht_double;5000;22601600
ht_open;5000;22563000
ht_linear;10000;38321200
ht_quadratic;10000;38501900
ht_double;10000;39227900
ht_open;10000;39555500
ht_linear;20000;86804400
ht_quadratic;20000;87172000
ht_double;20000;85305300
ht_open;20000;87930100
ht_linear;1000;5571100
ht_quadratic;1000;4390300
ht_double;1000;5575200
ht_open;1000;4218300
ht_linear;5000;23334100
ht_quadratic;5000;21862800
ht_double;5000;21824600
ht_open;5000;23378400
ht_linear;10000;40296000
ht_quadratic;10000;37812400
ht_double;10000;39008100
ht_open;10000;38695900
ht_linear;20000;88188500
ht_quadratic;20000;85940500
ht_double;20000;86217400
ht_open;20000;87947000
ht_linear;1000;6334200
ht_quadratic;1000;5000000
ht_double;1000;4559800
ht_open;1000;5339100
ht_linear;5000;22646200
ht_quadratic;5000;22104800
ht_double;5000;22698200
ht_open;5000;22413200
ht_linear;10000;40242500
ht_quadratic;10000;37431000
ht_double;10000;39599900
ht_open;10000;39176300
ht_linear;20000;86567600
ht_quadratic;20000;86623800
ht_double;20000;86511700
ht_open;20000;87493400
ht_linear;1000;4666300
ht_quadratic;1000;6922900
ht_double;1000;4768100
ht_open;1000;4620900
ht_linear;5000;22941900
ht_quadratic;5000;21969400
ht_double;5000;22670900
ht_open;5000;22895900
ht_linear;10000;39670700
ht_quadratic;10000;37548400
ht_double;10000;39342700
ht_open;10000;40604000
ht_linear;20000;86730700
